# MOCK tile map - check against your detector's cabling before using on real data.
# 8 io_groups x 32 io_channels; each tile is read out on 4 io_channels
# (2x2 convention: io_channels 1-4 -> tile 1, 5-8 -> tile 2, ..., 29-32 -> tile 8).
io_group,io_channel,tile
1,1,1
1,2,1
1,3,1
1,4,1
1,5,2
1,6,2
1,7,2
1,8,2
1,9,3
1,10,3
1,11,3
1,12,3
1,13,4
1,14,4
1,15,4
1,16,4
1,17,5
1,18,5
1,19,5
1,20,5
1,21,6
1,22,6
1,23,6
1,24,6
1,25,7
1,26,7
1,27,7
1,28,7
1,29,8
1,30,8
1,31,8
1,32,8
2,1,1
2,2,1
2,3,1
2,4,1
2,5,2
2,6,2
2,7,2
2,8,2
2,9,3
2,10,3
2,11,3
2,12,3
2,13,4
2,14,4
2,15,4
2,16,4
2,17,5
2,18,5
2,19,5
2,20,5
2,21,6
2,22,6
2,23,6
2,24,6
2,25,7
2,26,7
2,27,7
2,28,7
2,29,8
2,30,8
2,31,8
2,32,8
3,1,1
3,2,1
3,3,1
3,4,1
3,5,2
3,6,2
3,7,2
3,8,2
3,9,3
3,10,3
3,11,3
3,12,3
3,13,4
3,14,4
3,15,4
3,16,4
3,17,5
3,18,5
3,19,5
3,20,5
3,21,6
3,22,6
3,23,6
3,24,6
3,25,7
3,26,7
3,27,7
3,28,7
3,29,8
3,30,8
3,31,8
3,32,8
4,1,1
4,2,1
4,3,1
4,4,1
4,5,2
4,6,2
4,7,2
4,8,2
4,9,3
4,10,3
4,11,3
4,12,3
4,13,4
4,14,4
4,15,4
4,16,4
4,17,5
4,18,5
4,19,5
4,20,5
4,21,6
4,22,6
4,23,6
4,24,6
4,25,7
4,26,7
4,27,7
4,28,7
4,29,8
4,30,8
4,31,8
4,32,8
5,1,1
5,2,1
5,3,1
5,4,1
5,5,2
5,6,2
5,7,2
5,8,2
5,9,3
5,10,3
5,11,3
5,12,3
5,13,4
5,14,4
5,15,4
5,16,4
5,17,5
5,18,5
5,19,5
5,20,5
5,21,6
5,22,6
5,23,6
5,24,6
5,25,7
5,26,7
5,27,7
5,28,7
5,29,8
5,30,8
5,31,8
5,32,8
6,1,1
6,2,1
6,3,1
6,4,1
6,5,2
6,6,2
6,7,2
6,8,2
6,9,3
6,10,3
6,11,3
6,12,3
6,13,4
6,14,4
6,15,4
6,16,4
6,17,5
6,18,5
6,19,5
6,20,5
6,21,6
6,22,6
6,23,6
6,24,6
6,25,7
6,26,7
6,27,7
6,28,7
6,29,8
6,30,8
6,31,8
6,32,8
7,1,1
7,2,1
7,3,1
7,4,1
7,5,2
7,6,2
7,7,2
7,8,2
7,9,3
7,10,3
7,11,3
7,12,3
7,13,4
7,14,4
7,15,4
7,16,4
7,17,5
7,18,5
7,19,5
7,20,5
7,21,6
7,22,6
7,23,6
7,24,6
7,25,7
7,26,7
7,27,7
7,28,7
7,29,8
7,30,8
7,31,8
7,32,8
8,1,1
8,2,1
8,3,1
8,4,1
8,5,2
8,6,2
8,7,2
8,8,2
8,9,3
8,10,3
8,11,3
8,12,3
8,13,4
8,14,4
8,15,4
8,16,4
8,17,5
8,18,5
8,19,5
8,20,5
8,21,6
8,22,6
8,23,6
8,24,6
8,25,7
8,26,7
8,27,7
8,28,7
8,29,8
8,30,8
8,31,8
8,32,8
